Jogo,Dezena 1,Dezena 2,Dezena 3,Dezena 4,Dezena 5,Dezena 6,Dezena 7,Dezena 8,Dezena 9,Dezena 10,Dezena 11,Dezena 12,Dezena 13,Dezena 14,Dezena 15
1,1,2,3,4,5,6,7,8,9,10,12,13,14,17,18
2,1,2,3,4,5,6,7,8,9,10,12,13,14,17,21
3,1,2,3,4,5,6,7,8,9,10,12,13,14,17,23
4,1,2,3,4,5,6,7,8,9,10,12,13,14,18,21
5,1,2,3,4,5,6,7,8,9,10,12,13,14,18,23
6,1,2,3,4,5,6,7,8,9,10,12,13,14,21,23
7,1,2,3,4,5,6,7,8,9,10,12,13,17,18,21
8,1,2,3,4,5,6,7,8,9,10,12,13,17,18,23
9,1,2,3,4,5,6,7,8,9,10,12,13,17,21,23
10,1,2,3,4,5,6,7,8,9,10,12,13,18,21,23
11,1,2,3,4,5,6,7,8,9,10,12,14,17,18,21
12,1,2,3,4,5,6,7,8,9,10,12,14,17,18,23
13,1,2,3,4,5,6,7,8,9,10,12,14,17,21,23
14,1,2,3,4,5,6,7,8,9,10,12,14,18,21,23
15,1,2,3,4,5,6,7,8,9,10,12,17,18,21,23
16,1,2,3,4,5,6,7,8,9,10,13,14,17,18,21
17,1,2,3,4,5,6,7,8,9,10,13,14,17,18,23
18,1,2,3,4,5,6,7,8,9,10,13,14,17,21,23
19,1,2,3,4,5,6,7,8,9,10,13,14,18,21,23
20,1,2,3,4,5,6,7,8,9,10,13,17,18,21,23
21,1,2,3,4,5,6,7,8,9,10,14,17,18,21,23
22,1,2,3,4,5,6,7,8,9,12,13,14,17,18,21
23,1,2,3,4,5,6,7,8,9,12,13,14,17,18,23
24,1,2,3,4,5,6,7,8,9,12,13,14,17,21,23
25,1,2,3,4,5,6,7,8,9,12,13,14,18,21,23
26,1,2,3,4,5,6,7,8,9,12,13,17,18,21,23
27,1,2,3,4,5,6,7,8,9,12,14,17,18,21,23
28,1,2,3,4,5,6,7,8,9,13,14,17,18,21,23
29,1,2,3,4,5,6,7,8,10,12,13,14,17,18,21
30,1,2,3,4,5,6,7,8,10,12,13,14,17,18,23
31,1,2,3,4,5,6,7,8,10,12,13,14,17,21,23
32,1,2,3,4,5,6,7,8,10,12,13,14,18,21,23
33,1,2,3,4,5,6,7,8,10,12,13,17,18,21,23
34,1,2,3,4,5,6,7,8,10,12,14,17,18,21,23
35,1,2,3,4,5,6,7,8,10,13,14,17,18,21,23
36,1,2,3,4,5,6,7,8,12,13,14,17,18,21,23
37,1,2,3,4,5,6,7,9,10,12,13,14,17,18,21
38,1,2,3,4,5,6,7,9,10,12,13,14,17,18,23
39,1,2,3,4,5,6,7,9,10,12,13,14,17,21,23
40,1,2,3,4,5,6,7,9,10,12,13,14,18,21,23
41,1,2,3,4,5,6,7,9,10,12,13,17,18,21,23
42,1,2,3,4,5,6,7,9,10,12,14,17,18,21,23
43,1,2,3,4,5,6,7,9,10,13,14,17,18,21,23
44,1,2,3,4,5,6,7,9,12,13,14,17,18,21,23
45,1,2,3,4,5,6,7,10,12,13,14,17,18,21,23
46,1,2,3,4,5,6,8,9,10,12,13,14,17,18,21
47,1,2,3,4,5,6,8,9,10,12,13,14,17,18,23
48,1,2,3,4,5,6,8,9,10,12,13,14,17,21,23
49,1,2,3,4,5,6,8,9,10,12,13,14,18,21,23
50,1,2,3,4,5,6,8,9,10,12,13,17,18,21,23
51,1,2,3,4,5,6,8,9,10,12,14,17,18,21,23
52,1,2,3,4,5,6,8,9,10,13,14,17,18,21,23
